I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@7bcb; boundsInParent: Rect(0, 0 - 194, 52); boundsInScreen: Rect(248, 326 - 442, 378); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Language Arts : Writing; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt112; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@caa0; boundsInParent: Rect(0, 0 - 200, 240); boundsInScreen: Rect(35, 391 - 235, 631); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img21; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@7f8c; boundsInParent: Rect(0, 0 - 194, 28); boundsInScreen: Rect(38, 644 - 232, 672); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Mathematics; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt211; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@ce61; boundsInParent: Rect(0, 0 - 200, 240); boundsInScreen: Rect(245, 391 - 445, 631); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img22; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@870e; boundsInParent: Rect(0, 0 - 194, 28); boundsInScreen: Rect(248, 644 - 442, 672); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Science; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt221; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d222; boundsInParent: Rect(0, 0 - 240, 240); boundsInScreen: Rect(120, 685 - 360, 925); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img41; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@8acf; boundsInParent: Rect(0, 0 - 404, 28); boundsInScreen: Rect(38, 938 - 442, 966); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Social Studies; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt411; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d5e3; boundsInParent: Rect(0, 0 - 95, 210); boundsInScreen: Rect(35, 979 - 130, 1189); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img31; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@8e90; boundsInParent: Rect(0, 0 - 89, 52); boundsInScreen: Rect(38, 1202 - 127, 1254); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Remove ads; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt311; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d9a4; boundsInParent: Rect(0, 0 - 95, 210); boundsInScreen: Rect(140, 979 - 235, 1189); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img32; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@834d; boundsInParent: Rect(0, 0 - 89, 28); boundsInScreen: Rect(143, 1202 - 232, 1230); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: History; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt321; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
